epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,590.48,1.08071,1.27188,1.26885,0.31506,0.33866,0.27198,0.1271,1.85545,2.34683,1.89029,0.000712214,0.000712214,0.000712214
78,597.768,1.09541,1.20922,1.28438,0.28753,0.3111,0.24287,0.113,1.8945,2.54493,1.98803,0.000702782,0.000702782,0.000702782
79,605.207,1.10756,1.14673,1.28154,0.32827,0.36566,0.26188,0.12805,1.82692,2.47325,1.94774,0.000693351,0.000693351,0.000693351
80,612.815,1.07553,1.20668,1.27005,0.34616,0.35927,0.29261,0.14955,1.82808,2.44653,1.8903,0.000683919,0.000683919,0.000683919
81,620.22,1.06913,1.16745,1.28461,0.3943,0.30096,0.28008,0.14349,1.83191,2.4954,1.89925,0.000674488,0.000674488,0.000674488
82,627.711,1.04751,1.13069,1.24873,0.36799,0.39282,0.29362,0.13842,1.81026,2.4865,1.94224,0.000665057,0.000665057,0.000665057
83,634.92,1.06721,1.17338,1.29173,0.37223,0.39636,0.30835,0.15189,1.8108,2.44305,1.89949,0.000655625,0.000655625,0.000655625
84,642.267,1.03734,1.14359,1.25253,0.47286,0.39888,0.33287,0.16072,1.79974,2.34829,1.8588,0.000646194,0.000646194,0.000646194
85,649.627,1.06856,1.1842,1.2997,0.44274,0.33582,0.33355,0.16576,1.79478,2.25694,1.87841,0.000636762,0.000636762,0.000636762
86,656.907,1.01187,1.12633,1.25651,0.39258,0.41512,0.36396,0.19077,1.68029,2.20836,1.81821,0.000627331,0.000627331,0.000627331
87,664.33,1.03663,1.10284,1.21492,0.38916,0.45557,0.38607,0.18801,1.70638,2.16959,1.8357,0.0006179,0.0006179,0.0006179
88,672,1.0015,1.10318,1.24754,0.3829,0.44442,0.33481,0.14789,1.83075,2.23076,1.84818,0.000608468,0.000608468,0.000608468
89,679.608,1.03279,1.07931,1.20645,0.38707,0.44095,0.34661,0.15859,1.85944,2.2653,1.87195,0.000599037,0.000599037,0.000599037
90,687.122,0.98484,1.07142,1.22636,0.44494,0.43976,0.3814,0.1839,1.78802,2.30224,1.91267,0.000589605,0.000589605,0.000589605
91,694.506,1.03503,1.1046,1.20827,0.42167,0.46117,0.38119,0.18471,1.76683,2.37522,1.89647,0.000580174,0.000580174,0.000580174
92,701.95,1.02298,1.03478,1.19571,0.38472,0.31222,0.30122,0.14493,1.83582,2.48527,1.88352,0.000570743,0.000570743,0.000570743
93,709.274,1.01137,1.10349,1.23194,0.38373,0.28209,0.27773,0.13248,1.88107,2.55434,1.97176,0.000561311,0.000561311,0.000561311
94,716.711,1.00587,1.10932,1.23475,0.35519,0.31447,0.27911,0.13753,1.94251,2.52447,2.09133,0.00055188,0.00055188,0.00055188
95,724.106,0.96153,1.03228,1.20094,0.39869,0.28887,0.28711,0.14157,1.86962,2.47664,2.02018,0.000542448,0.000542448,0.000542448
96,731.52,0.92942,0.99709,1.16366,0.38122,0.34959,0.25931,0.12312,1.79306,2.4361,1.82841,0.000533017,0.000533017,0.000533017
97,738.891,1.01854,0.98838,1.20701,0.47226,0.32045,0.28836,0.14076,1.78933,2.42053,1.77959,0.000523586,0.000523586,0.000523586
98,746.418,0.95978,0.93771,1.17049,0.38304,0.40935,0.34137,0.1594,1.84028,2.35673,1.87017,0.000514154,0.000514154,0.000514154
99,753.812,0.9351,0.99203,1.15128,0.40884,0.39977,0.35362,0.17127,1.79921,2.25306,1.86948,0.000504723,0.000504723,0.000504723
100,761.117,0.96987,1.00283,1.17144,0.44865,0.36425,0.39252,0.19865,1.83993,2.2205,1.89152,0.000495291,0.000495291,0.000495291
101,768.563,0.9564,0.94046,1.17476,0.48376,0.35292,0.37088,0.1722,1.90442,2.31311,1.92158,0.00048586,0.00048586,0.00048586
102,775.786,0.89146,0.92009,1.13789,0.38987,0.41277,0.35517,0.16479,1.89129,2.33498,1.95754,0.000476429,0.000476429,0.000476429
103,783.426,0.94326,0.90063,1.16341,0.33979,0.43052,0.34937,0.16038,1.88176,2.38298,1.97393,0.000466997,0.000466997,0.000466997
104,791.156,0.89829,0.88956,1.14576,0.48105,0.35137,0.34306,0.16315,1.75154,2.36586,1.82561,0.000457566,0.000457566,0.000457566
105,798.709,0.89851,0.90898,1.13271,0.39437,0.38652,0.33607,0.16259,1.76706,2.33561,1.79241,0.000448134,0.000448134,0.000448134
106,806.159,0.92848,0.86081,1.11886,0.38818,0.34944,0.29965,0.14662,1.80622,2.35874,1.78996,0.000438703,0.000438703,0.000438703
107,813.678,0.87691,0.84344,1.14085,0.33035,0.3586,0.28905,0.13988,1.80322,2.37344,1.80187,0.000429272,0.000429272,0.000429272
108,821.397,0.90547,0.87615,1.13776,0.41734,0.39914,0.32686,0.15826,1.78887,2.3603,1.84852,0.00041984,0.00041984,0.00041984
109,829.331,0.88565,0.85987,1.14876,0.40701,0.40169,0.34671,0.16451,1.77809,2.40778,1.83003,0.000410409,0.000410409,0.000410409
110,836.982,0.88827,0.88439,1.12453,0.41044,0.41122,0.35808,0.16889,1.78904,2.35311,1.87076,0.000400977,0.000400977,0.000400977
111,844.799,0.90934,0.87195,1.15156,0.42718,0.38546,0.37563,0.18141,1.78932,2.32552,1.91259,0.000391546,0.000391546,0.000391546
112,852.565,0.87444,0.82341,1.12716,0.44119,0.37301,0.35567,0.17531,1.83034,2.31278,1.86041,0.000382115,0.000382115,0.000382115
113,860.473,0.89222,0.82422,1.13569,0.47579,0.33427,0.33443,0.16767,1.86305,2.38785,1.86159,0.000372683,0.000372683,0.000372683
114,868.334,0.86298,0.81578,1.08617,0.44893,0.36425,0.35804,0.18811,1.74812,2.29299,1.86004,0.000363252,0.000363252,0.000363252
115,875.917,0.86379,0.80713,1.10243,0.43986,0.37066,0.35927,0.18326,1.74501,2.2556,1.8856,0.00035382,0.00035382,0.00035382
116,883.64,0.81372,0.78212,1.11092,0.43558,0.37469,0.35655,0.17373,1.83098,2.29533,1.97425,0.000344389,0.000344389,0.000344389
